model_name,brand,body_type,segment,price_eur,maintenance_cost_year,seating_capacity,boot_capacity_l,safety_rating,energy_cost_100km,powertrain_type,fuel_type,sustainable,coche_familiar,costo_energia_anual,costo_total_anual
Saab 555,Saab,Sedan,D,60184,605,5,555,5,8.47,Hybrid,Petrol+Electric,1,0,1270.5,1875.5
Audi N-Class,Audi,Crossover,D,65162,694,7,615,4,8.71,Diesel,Diesel,0,1,1306.5000000000002,2000.5000000000002
Audi P2x,Audi,SUV,C,43968,652,6,540,4,10.61,Diesel,Diesel,0,1,1591.5,2243.5
Vauxhall W-Class,Vauxhall,Hatchback,F,115229,459,5,518,4,7.65,Petrol,Petrol,0,0,1147.5,1606.5
DS Automobiles S44,DS Automobiles,Pickup,E,77515,701,4,0,4,10.81,Diesel,Diesel,0,0,1621.5,2322.5
Toyota 555,Toyota,Crossover,C,40436,476,6,756,4,8.54,Diesel,Diesel,0,1,1280.9999999999998,1756.9999999999998
Vauxhall XX-6,Vauxhall,Crossover,B,24836,579,5,624,3,13.45,Petrol,Petrol,0,1,2017.5,2596.5
DS Automobiles U3 Pro,DS Automobiles,Crossover,D,52451,471,6,704,3,8.13,Diesel,Diesel,0,1,1219.5000000000002,1690.5000000000002
Audi E6x,Audi,Crossover,B,34300,519,6,658,4,12.04,Petrol,Petrol,0,1,1805.9999999999998,2325.0
Alfa Romeo N1x,Alfa Romeo,Sedan,D,64139,598,5,579,4,8.95,Diesel,Diesel,0,0,1342.5,1940.5
Seat CC-5,Seat,Pickup,C,52788,853,4,0,5,8.66,Hybrid,Petrol+Electric,1,0,1299.0,2152.0
BMW 222,BMW,Crossover,C,36095,415,6,464,4,13.7,Petrol,Petrol,0,0,2055.0,2470.0
Hyundai O2 Pro,Hyundai,Crossover,C,36198,456,5,477,5,6.86,Diesel,Diesel,0,0,1029.0,1485.0
Fiat VV2,Fiat,SUV,C,43781,713,6,554,5,13.77,Petrol,Petrol,0,1,2065.5,2778.5
Ferrari LL5,Ferrari,Sedan,E,74263,696,5,428,5,5.36,Hybrid,Petrol+Electric,1,0,804.0,1500.0
Audi H55,Audi,Hatchback,B,28115,571,5,458,3,10.1,Diesel,Diesel,0,0,1515.0,2086.0
Renault D7,Renault,SUV,E,84306,578,7,751,4,5.92,Hybrid,Petrol+Electric,1,1,888.0,1466.0
Land Rover NN-2,Land Rover,Hatchback,A,24776,422,5,454,5,9.45,Diesel,Diesel,0,0,1417.5,1839.5
Volkswagen 999,Volkswagen,Crossover,D,60843,526,7,564,4,10.15,Hybrid,Petrol+Electric,1,1,1522.5,2048.5
Peugeot T-Class,Peugeot,Convertible,E,64871,543,2,279,3,8.5,Diesel,Diesel,0,0,1275.0,1818.0
Citroën 666,Citroën,Sedan,C,39732,434,5,559,4,11.25,Petrol,Petrol,0,0,1687.5,2121.5
Volvo S-Class,Volvo,SUV,A,24787,425,6,480,4,11.36,Petrol,Petrol,0,0,1704.0,2129.0
Toyota 333,Toyota,Crossover,D,53691,550,5,633,4,9.57,Diesel,Diesel,0,1,1435.5,1985.5
Volvo NN3,Volvo,Hatchback,D,59176,737,5,303,3,10.07,Diesel,Diesel,0,0,1510.5,2247.5
BMW ZZ9,BMW,MPV,C,43553,427,7,935,5,9.32,Diesel,Diesel,0,0,1398.0,1825.0
Peugeot U7 Pro,Peugeot,SUV,C,46620,578,6,463,5,5.24,Hybrid,Petrol+Electric,1,0,786.0,1364.0
Vauxhall TT-33,Vauxhall,Hatchback,D,58866,630,5,476,3,9.01,Diesel,Diesel,0,0,1351.5,1981.5
Nissan A-Class,Nissan,Hatchback,B,35255,560,5,312,4,8.3,Diesel,Diesel,0,0,1245.0,1805.0
Mazda W33,Mazda,MPV,C,49083,636,7,835,4,5.43,Hybrid,Petrol+Electric,1,0,814.5,1450.5
Subaru N55,Subaru,Sedan,C,38229,570,5,398,4,7.65,Petrol,Petrol,0,0,1147.5,1717.5
Hyundai Z6,Hyundai,Crossover,B,26548,504,5,636,3,10.13,Petrol,Petrol,0,1,1519.5000000000002,2023.5000000000002
BMW WW-7,BMW,Hatchback,D,55212,670,5,351,3,13.04,Petrol,Petrol,0,0,1955.9999999999998,2626.0
Skoda FF-88,Skoda,Sedan,C,39103,237,5,572,4,5.07,Hybrid,Diesel+Electric,1,0,760.5,997.5
Toyota PP9,Toyota,Convertible,E,80846,862,3,318,4,6.94,Hybrid,Diesel+Electric,1,0,1041.0,1903.0
Skoda I-Class,Skoda,Hatchback,C,41755,706,5,409,5,9.27,Diesel,Diesel,0,0,1390.5,2096.5
Vauxhall X4 Pro,Vauxhall,Hatchback,C,43198,729,5,345,4,11.35,Petrol,Petrol,0,0,1702.5,2431.5
Maserati V-Class,Maserati,SUV,C,43826,457,5,643,5,10.82,Petrol,Petrol,0,1,1623.0,2080.0
Kia O-Class,Kia,Convertible,C,39674,594,4,197,5,6.43,Diesel,Diesel,0,0,964.5,1558.5
Vauxhall 222,Vauxhall,SUV,D,51623,583,6,799,3,6.36,Hybrid,Petrol+Electric,1,1,954.0,1537.0
Volvo 444,Volvo,Hatchback,D,50495,521,5,307,4,8.02,Diesel,Diesel,0,0,1203.0,1724.0
Bentley 111,Bentley,Pickup,D,64178,685,5,0,3,10.37,Diesel,Diesel,0,0,1555.4999999999998,2240.5
Toyota 555,Toyota,Crossover,C,42435,593,6,690,5,10.77,Petrol,Petrol,0,1,1615.5,2208.5
Vauxhall Q1 Pro,Vauxhall,Coupe,B,37419,438,2,335,4,7.09,Diesel,Diesel,0,0,1063.5,1501.5
Skoda W9x,Skoda,Wagon,B,35155,633,5,853,5,10.21,Petrol,Petrol,0,1,1531.5000000000002,2164.5
Volvo Q88,Volvo,Wagon,D,53357,653,5,812,5,14.54,Petrol,Petrol,0,1,2181.0,2834.0
Koenigsegg W9 Pro,Koenigsegg,SUV,C,44085,466,7,700,5,7.59,Hybrid,Petrol+Electric,1,1,1138.5,1604.5
Mercedes-Benz 111,Mercedes-Benz,SUV,C,35868,348,6,525,4,11.89,Petrol,Petrol,0,1,1783.5,2131.5
Seat ZZ-1,Seat,Wagon,C,53984,610,5,650,3,5.38,Hybrid,Petrol+Electric,1,1,807.0,1417.0
Rolls-Royce X9x,Rolls-Royce,Wagon,C,47515,440,5,723,3,7.7,Hybrid,Petrol+Electric,1,1,1155.0,1595.0
Nissan HH9,Nissan,MPV,D,57978,587,6,963,5,9.69,Petrol,Petrol,0,0,1453.5,2040.5
Audi U8,Audi,Crossover,C,46040,502,7,623,4,8.91,Diesel,Diesel,0,1,1336.5,1838.5
Skoda W99,Skoda,Sedan,F,115630,823,5,440,5,9.6,Petrol,Petrol,0,0,1440.0,2263.0
Renault FF-2,Renault,SUV,B,33272,450,7,578,5,11.71,Petrol,Petrol,0,1,1756.5000000000002,2206.5
Volkswagen EE9,Volkswagen,Crossover,C,44501,441,7,528,4,14.45,Petrol,Petrol,0,1,2167.5,2608.5
Aston Martin BB7,Aston Martin,SUV,A,24497,495,6,702,4,11.54,Petrol,Petrol,0,1,1730.9999999999998,2226.0
Alfa Romeo NN-33,Alfa Romeo,Coupe,D,57129,432,4,241,4,9.52,Diesel,Diesel,0,0,1428.0,1860.0
Opel DD6,Opel,Crossover,C,49411,505,6,759,4,9.25,Diesel,Diesel,0,1,1387.5,1892.5
Lexus SS-2,Lexus,Hatchback,C,44073,381,5,457,4,6.74,Diesel,Diesel,0,0,1011.0,1392.0
Volkswagen K-Class,Volkswagen,Crossover,D,64063,624,6,496,5,10.56,Petrol,Petrol,0,0,1584.0,2208.0
Citroën I-Class,Citroën,Crossover,C,43869,663,5,620,3,7.76,Hybrid,Petrol+Electric,1,1,1164.0,1827.0
Mitsubishi Z7,Mitsubishi,MPV,B,36935,565,7,634,4,7.54,Diesel,Diesel,0,0,1131.0,1696.0
Nissan KK-9,Nissan,SUV,C,38183,713,7,662,5,8.97,Diesel,Diesel,0,1,1345.5,2058.5
Cupra P8,Cupra,Crossover,A,31572,477,5,589,5,10.9,Diesel,Diesel,0,1,1635.0,2112.0
Nissan M1,Nissan,SUV,E,76101,582,6,710,4,7.19,Diesel,Diesel,0,1,1078.5,1660.5
Lamborghini LL-55,Lamborghini,SUV,D,56939,715,7,528,3,8.85,Diesel,Diesel,0,1,1327.5,2042.5
Hyundai DD1,Hyundai,Hatchback,D,58996,731,5,483,3,8.86,Diesel,Diesel,0,0,1329.0,2060.0
Land Rover ZZ3,Land Rover,MPV,E,71361,708,5,889,5,9.59,Diesel,Diesel,0,0,1438.5,2146.5
Suzuki M1x,Suzuki,MPV,D,71209,760,5,630,4,10.76,Petrol,Petrol,0,0,1614.0,2374.0
Dacia 888,Dacia,Crossover,C,45113,558,5,701,4,7.68,Hybrid,Petrol+Electric,1,1,1152.0,1710.0
Kia CC-9,Kia,Crossover,B,30640,598,5,680,4,10.1,Diesel,Diesel,0,1,1515.0,2113.0
Mini E7 Pro,Mini,Hatchback,C,51373,483,5,371,4,6.08,Hybrid,Petrol+Electric,1,0,912.0,1395.0
Mercedes-Benz 111,Mercedes-Benz,Crossover,E,69769,884,7,597,5,11.21,Diesel,Diesel,0,1,1681.5000000000002,2565.5
Hyundai W55,Hyundai,SUV,E,80974,581,5,450,5,5.55,Hybrid,Petrol+Electric,1,0,832.5,1413.5
Fiat QQ-7,Fiat,Wagon,D,55970,590,5,857,3,8.87,Diesel,Diesel,0,1,1330.4999999999998,1920.4999999999998
Toyota KK6,Toyota,Hatchback,B,35902,569,5,451,4,9.36,Hybrid,Petrol+Electric,1,0,1404.0,1973.0
Mazda F9x,Mazda,Wagon,B,34080,604,5,515,4,11.64,Petrol,Petrol,0,1,1746.0,2350.0
Dacia D-Class,Dacia,Sedan,E,81942,740,5,562,5,8.24,Diesel,Diesel,0,0,1236.0,1976.0
Cupra FF-33,Cupra,Crossover,B,37995,234,7,499,4,6.91,Hybrid,Petrol+Electric,1,0,1036.5,1270.5
Citroën ZZ7,Citroën,Crossover,C,32562,706,7,593,3,11.43,Petrol,Petrol,0,1,1714.5,2420.5
Hyundai M4,Hyundai,Sedan,C,45732,792,5,423,4,9.5,Diesel,Diesel,0,0,1425.0,2217.0
Hyundai 555,Hyundai,SUV,C,45094,729,7,455,5,6.55,Diesel,Diesel,0,0,982.5,1711.5
Skoda E7,Skoda,Coupe,D,53086,549,2,210,3,12.61,Petrol,Petrol,0,0,1891.5,2440.5
Mercedes-Benz Z6x,Mercedes-Benz,Crossover,F,101463,772,5,428,5,13.5,Petrol,Petrol,0,0,2025.0,2797.0
Volkswagen F4,Volkswagen,Hatchback,D,52443,640,5,447,5,10.07,Diesel,Diesel,0,0,1510.5,2150.5
Kia WW-55,Kia,SUV,C,42864,620,5,796,4,9.53,Diesel,Diesel,0,1,1429.5,2049.5
Volvo 888,Volvo,Sedan,C,38466,629,5,570,4,10.43,Petrol,Petrol,0,0,1564.5,2193.5
Cupra Q3 Pro,Cupra,Crossover,E,72200,678,5,744,4,10.16,Petrol,Petrol,0,1,1524.0,2202.0
Ferrari NN9,Ferrari,Crossover,C,43640,665,6,599,4,6.57,Hybrid,Petrol+Electric,1,1,985.5,1650.5
Cupra E2x,Cupra,Hatchback,C,48121,317,5,376,4,11.27,Petrol,Petrol,0,0,1690.5,2007.5
Fiat 333,Fiat,Crossover,D,60776,559,6,704,4,5.98,Hybrid,Petrol+Electric,1,1,897.0000000000001,1456.0
Ford M99,Ford,Wagon,B,26462,395,5,585,5,8.17,Diesel,Diesel,0,1,1225.5,1620.5
BMW W4,BMW,Wagon,A,29381,622,5,756,4,9.76,Hybrid,Petrol+Electric,1,1,1464.0,2086.0
Toyota W6,Toyota,Hatchback,E,77585,551,5,330,4,8.0,Diesel,Diesel,0,0,1200.0,1751.0
Ford U1x,Ford,Sedan,C,33627,458,5,535,4,13.86,Petrol,Petrol,0,0,2079.0,2537.0
Aston Martin Q5x,Aston Martin,SUV,B,37612,719,6,544,4,11.27,Diesel,Diesel,0,1,1690.5,2409.5
Ford Q-Class,Ford,Hatchback,C,43044,751,5,351,4,10.13,Diesel,Diesel,0,0,1519.5000000000002,2270.5
Volkswagen H3x,Volkswagen,SUV,F,110046,720,6,731,5,11.05,Petrol,Petrol,0,1,1657.5,2377.5
Seat F4 Pro,Seat,Hatchback,D,52264,690,5,513,4,11.41,Diesel,Diesel,0,0,1711.5,2401.5
Volkswagen D-Class,Volkswagen,Hatchback,D,61884,455,5,449,4,7.87,Hybrid,Petrol+Electric,1,0,1180.5,1635.5
Mercedes-Benz WW-7,Mercedes-Benz,Crossover,A,32965,418,7,588,4,7.53,Hybrid,Petrol+Electric,1,1,1129.5,1547.5
Subaru QQ-2,Subaru,Sedan,F,107203,466,5,554,4,13.39,Petrol,Petrol,0,0,2008.5,2474.5
Mitsubishi U3 Pro,Mitsubishi,Wagon,E,71300,456,5,886,4,6.82,Hybrid,Petrol+Electric,1,1,1023.0,1479.0
Kia TT-3,Kia,Hatchback,C,40350,559,5,476,4,11.99,Petrol,Petrol,0,0,1798.5,2357.5
Mini DD-3,Mini,Crossover,C,42147,724,6,557,5,8.84,Diesel,Diesel,0,1,1326.0,2050.0
Hyundai B5x,Hyundai,SUV,D,56021,713,7,652,4,5.91,Hybrid,Petrol+Electric,1,1,886.5,1599.5
Ford EE-7,Ford,Coupe,D,57842,387,3,281,5,7.05,Diesel,Diesel,0,0,1057.5,1444.5
Volkswagen U4,Volkswagen,Wagon,D,62353,616,5,705,5,8.25,Diesel,Diesel,0,1,1237.5,1853.5
Peugeot 777,Peugeot,SUV,F,115292,625,5,712,4,5.0,Hybrid,Petrol+Electric,1,1,750.0,1375.0
Nissan R5x,Nissan,Crossover,D,68036,324,7,493,4,6.35,Hybrid,Petrol+Electric,1,0,952.5,1276.5
Mini HH-6,Mini,Sedan,C,45315,668,5,573,5,10.3,Petrol,Petrol,0,0,1545.0,2213.0
Volkswagen Q1x,Volkswagen,Crossover,C,49394,672,7,593,4,10.58,Petrol,Petrol,0,1,1587.0,2259.0
Volvo O1 Pro,Volvo,Hatchback,D,60611,522,5,351,4,13.45,Petrol,Petrol,0,0,2017.5,2539.5
Subaru D-Class,Subaru,SUV,B,43390,540,6,785,4,10.51,Hybrid,Petrol+Electric,1,1,1576.5,2116.5
Volkswagen II6,Volkswagen,Sedan,B,39831,620,5,619,5,6.94,Diesel,Diesel,0,0,1041.0,1661.0
Seat H6x,Seat,Convertible,D,50558,600,3,255,3,13.48,Petrol,Petrol,0,0,2022.0,2622.0
Land Rover F1,Land Rover,SUV,C,48663,511,5,464,5,5.0,Hybrid,Petrol+Electric,1,0,750.0,1261.0
Subaru B6,Subaru,Crossover,D,53589,428,7,619,5,10.49,Petrol,Petrol,0,1,1573.5,2001.5
Peugeot KK-8,Peugeot,SUV,B,42247,460,5,468,3,5.29,Hybrid,Diesel+Electric,1,0,793.5,1253.5
Vauxhall U-Class,Vauxhall,Sedan,C,39116,692,5,588,4,11.61,Petrol,Petrol,0,0,1741.5,2433.5
Skoda F5x,Skoda,Sedan,B,33241,687,5,407,4,10.24,Petrol,Petrol,0,0,1536.0,2223.0
Vauxhall MM-66,Vauxhall,MPV,D,58837,468,7,875,5,12.17,Petrol,Petrol,0,0,1825.5,2293.5
Opel D-Class,Opel,Coupe,D,63433,527,3,302,4,8.25,Diesel,Diesel,0,0,1237.5,1764.5
Toyota W9,Toyota,Hatchback,C,32418,365,5,456,4,10.66,Petrol,Petrol,0,0,1599.0,1964.0
Seat L66,Seat,Wagon,C,40638,351,5,755,4,5.0,Hybrid,Petrol+Electric,1,1,750.0,1101.0
Citroën ZZ9,Citroën,SUV,B,32594,821,7,570,4,11.12,Diesel,Diesel,0,1,1667.9999999999998,2489.0
Jaguar HH5,Jaguar,Hatchback,D,54824,491,5,498,4,10.89,Petrol,Petrol,0,0,1633.5,2124.5
Renault TT-7,Renault,SUV,F,108609,788,5,745,5,8.06,Diesel,Diesel,0,1,1209.0,1997.0
BMW 333,BMW,Hatchback,D,52456,584,5,399,4,8.79,Diesel,Diesel,0,0,1318.4999999999998,1902.4999999999998
Skoda 444,Skoda,Sedan,B,28986,466,5,587,5,12.25,Petrol,Petrol,0,0,1837.5,2303.5
Suzuki XX-8,Suzuki,Wagon,C,52897,604,5,814,4,7.54,Diesel,Diesel,0,1,1131.0,1735.0
Ford 999,Ford,Sedan,C,41630,587,5,464,4,7.36,Hybrid,Diesel+Electric,1,0,1104.0,1691.0
DS Automobiles KK8,DS Automobiles,MPV,A,27139,560,6,807,4,7.64,Diesel,Diesel,0,0,1146.0,1706.0
Opel SS-3,Opel,Crossover,B,46473,657,6,484,4,5.27,Hybrid,Petrol+Electric,1,0,790.4999999999999,1447.5
Fiat E4,Fiat,Coupe,B,31146,645,4,274,5,5.0,Hybrid,Petrol+Electric,1,0,750.0,1395.0
Audi S5x,Audi,Crossover,B,38671,463,5,553,4,5.85,Hybrid,Petrol+Electric,1,1,877.5,1340.5
Toyota M6 Pro,Toyota,Convertible,D,60037,654,3,260,4,8.57,Diesel,Diesel,0,0,1285.5,1939.5
DS Automobiles VV-22,DS Automobiles,SUV,C,45750,394,6,572,3,6.62,Diesel,Diesel,0,1,993.0,1387.0
Mitsubishi C8x,Mitsubishi,Crossover,D,55978,524,6,493,3,9.88,Petrol,Petrol,0,0,1482.0000000000002,2006.0000000000002
Lexus R9x,Lexus,SUV,E,77749,601,5,587,3,8.94,Hybrid,Petrol+Electric,1,1,1341.0,1942.0
Seat F5,Seat,MPV,C,49224,529,6,882,5,8.98,Hybrid,Petrol+Electric,1,0,1347.0,1876.0
Rolls-Royce K11,Rolls-Royce,Hatchback,C,42556,530,5,307,4,6.63,Hybrid,Diesel+Electric,1,0,994.5,1524.5
Volvo X4,Volvo,Crossover,D,68944,682,5,604,4,11.73,Petrol,Petrol,0,1,1759.5,2441.5
Mercedes-Benz Q9x,Mercedes-Benz,Wagon,B,34425,649,5,724,4,8.13,Diesel,Diesel,0,1,1219.5000000000002,1868.5000000000002
Skoda C3 Pro,Skoda,SUV,C,52094,315,5,755,4,6.83,Hybrid,Petrol+Electric,1,1,1024.5,1339.5
BMW RR-77,BMW,Convertible,C,48731,602,2,209,4,7.65,Petrol,Petrol,0,0,1147.5,1749.5
Renault N7 Pro,Renault,SUV,D,54498,563,5,586,4,10.11,Diesel,Diesel,0,1,1516.5,2079.5
Volkswagen G-Class,Volkswagen,Hatchback,D,59180,508,5,308,4,12.27,Petrol,Petrol,0,0,1840.5,2348.5
Alfa Romeo F4,Alfa Romeo,Crossover,D,57060,767,6,485,3,8.82,Diesel,Diesel,0,0,1323.0,2090.0
Nissan R8,Nissan,SUV,D,54147,364,7,723,3,6.08,Diesel,Diesel,0,1,912.0,1276.0
Skoda X9 Pro,Skoda,Hatchback,C,35367,512,5,407,4,11.13,Petrol,Petrol,0,0,1669.5000000000002,2181.5
Fiat K-Class,Fiat,Hatchback,D,57824,782,5,461,4,7.65,Diesel,Diesel,0,0,1147.5,1929.5
Dacia X-Class,Dacia,Sedan,E,74698,596,5,498,4,13.37,Petrol,Petrol,0,0,2005.4999999999998,2601.5
Hyundai D3 Pro,Hyundai,Wagon,C,46571,431,5,789,5,6.99,Hybrid,Petrol+Electric,1,1,1048.5,1479.5
Toyota BB-9,Toyota,MPV,F,113341,616,7,659,5,8.97,Petrol,Petrol,0,0,1345.5,1961.5
Citroën KK-1,Citroën,Crossover,E,62790,784,5,619,5,11.25,Petrol,Petrol,0,1,1687.5,2471.5
Land Rover I33,Land Rover,Hatchback,C,44624,701,5,433,5,5.09,Hybrid,Diesel+Electric,1,0,763.5,1464.5
Peugeot B-Class,Peugeot,SUV,A,31482,530,6,693,5,9.8,Diesel,Diesel,0,1,1470.0,2000.0
Opel SS-2,Opel,Coupe,B,40022,794,2,254,3,9.88,Diesel,Diesel,0,0,1482.0000000000002,2276.0
Bentley V6,Bentley,Wagon,D,54646,693,5,626,4,11.26,Diesel,Diesel,0,1,1689.0,2382.0
Koenigsegg LL2,Koenigsegg,Sedan,B,36086,294,5,522,4,8.96,Diesel,Diesel,0,0,1344.0000000000002,1638.0000000000002
Hyundai I3 Pro,Hyundai,Hatchback,C,46415,523,5,499,4,7.0,Hybrid,Petrol+Electric,1,0,1050.0,1573.0
Toyota U5x,Toyota,MPV,C,42997,763,8,766,5,5.52,Hybrid,Petrol+Electric,1,0,827.9999999999999,1591.0
Mazda BB1,Mazda,Coupe,E,78880,606,2,279,4,5.89,Hybrid,Petrol+Electric,1,0,883.5,1489.5
Opel HH5,Opel,Hatchback,D,57428,753,5,304,4,5.0,Hybrid,Petrol+Electric,1,0,750.0,1503.0
Peugeot I11,Peugeot,Coupe,D,47060,362,3,215,5,9.19,Petrol,Petrol,0,0,1378.5,1740.5
Opel W2 Pro,Opel,Hatchback,C,47480,400,5,447,4,16.0,Petrol,Petrol,0,0,2400.0,2800.0
Audi V5x,Audi,Hatchback,B,34172,650,5,332,4,6.53,Hybrid,Petrol+Electric,1,0,979.5,1629.5
Mini G8 Pro,Mini,Wagon,D,52146,713,5,664,4,9.11,Diesel,Diesel,0,1,1366.5,2079.5
Citroën LL-5,Citroën,SUV,B,33178,600,6,486,5,8.19,Diesel,Diesel,0,0,1228.5,1828.5
Toyota TT-7,Toyota,SUV,C,44173,654,5,747,5,9.54,Petrol,Petrol,0,1,1430.9999999999998,2085.0
Kia P44,Kia,MPV,F,113032,590,5,620,4,8.62,Hybrid,Petrol+Electric,1,0,1292.9999999999998,1882.9999999999998
Kia M3x,Kia,Coupe,C,36218,426,4,331,3,8.14,Diesel,Diesel,0,0,1221.0,1647.0
Fiat CC-88,Fiat,Hatchback,D,50847,582,5,405,5,11.73,Petrol,Petrol,0,0,1759.5,2341.5
Lamborghini P33,Lamborghini,Crossover,D,55059,539,5,689,3,9.07,Petrol,Petrol,0,1,1360.5,1899.5
DS Automobiles G88,DS Automobiles,Wagon,D,63121,688,5,689,4,10.72,Diesel,Diesel,0,1,1608.0,2296.0
Subaru V55,Subaru,Crossover,C,44516,583,6,509,4,6.74,Hybrid,Petrol+Electric,1,1,1011.0,1594.0
Ford K3,Ford,Pickup,C,39203,544,4,0,4,7.84,Diesel,Diesel,0,0,1176.0,1720.0
Land Rover N44,Land Rover,Crossover,B,35816,748,6,748,4,8.17,Hybrid,Petrol+Electric,1,1,1225.5,1973.5
Kia 222,Kia,Hatchback,C,49863,433,5,465,4,5.12,Hybrid,Petrol+Electric,1,0,768.0,1201.0
Renault H8x,Renault,Sedan,C,37902,584,5,535,4,9.34,Diesel,Diesel,0,0,1401.0,1985.0
Toyota D9x,Toyota,Coupe,C,46443,543,3,319,4,9.02,Hybrid,Petrol+Electric,1,0,1353.0,1896.0
Mercedes-Benz Z11,Mercedes-Benz,Pickup,D,51694,568,4,0,4,14.36,Petrol,Petrol,0,0,2154.0,2722.0
Mazda 777,Mazda,Hatchback,A,24234,499,5,492,3,7.09,Hybrid,Diesel+Electric,1,0,1063.5,1562.5
Dacia D1,Dacia,Hatchback,C,47163,686,5,503,4,6.15,Hybrid,Diesel+Electric,1,0,922.5,1608.5
Volvo E4,Volvo,Wagon,B,32608,571,5,564,5,9.04,Petrol,Petrol,0,1,1355.9999999999998,1926.9999999999998
Fiat 333,Fiat,Hatchback,B,32381,464,5,444,4,6.83,Hybrid,Petrol+Electric,1,0,1024.5,1488.5
Volkswagen A2,Volkswagen,Hatchback,A,24108,369,5,502,4,10.75,Petrol,Petrol,0,0,1612.5,1981.5
Dacia Z6 Pro,Dacia,Convertible,B,30036,400,4,195,5,7.23,Hybrid,Diesel+Electric,1,0,1084.5,1484.5
Mercedes-Benz 333,Mercedes-Benz,Coupe,F,118537,559,2,354,4,8.66,Hybrid,Petrol+Electric,1,0,1299.0,1858.0
Volkswagen TT-88,Volkswagen,Convertible,F,104347,737,4,255,4,10.99,Diesel,Diesel,0,0,1648.5,2385.5
Peugeot K66,Peugeot,Crossover,D,60468,592,7,446,3,5.29,Hybrid,Petrol+Electric,1,0,793.5,1385.5
BMW EE-44,BMW,SUV,C,41051,618,6,687,4,10.27,Diesel,Diesel,0,1,1540.5,2158.5
Alfa Romeo S5,Alfa Romeo,MPV,D,63947,452,8,658,4,12.3,Petrol,Petrol,0,0,1845.0,2297.0
Volvo D1 Pro,Volvo,Sedan,E,77238,598,5,601,4,8.38,Diesel,Diesel,0,0,1257.0000000000002,1855.0000000000002
Opel D9,Opel,Sedan,C,46725,621,5,596,4,7.77,Hybrid,Petrol+Electric,1,0,1165.5,1786.5
Volkswagen D-Class,Volkswagen,Convertible,A,25622,626,4,219,4,8.04,Hybrid,Diesel+Electric,1,0,1205.9999999999998,1831.9999999999998
Mercedes-Benz E1x,Mercedes-Benz,Crossover,D,55902,382,7,702,4,12.62,Petrol,Petrol,0,1,1892.9999999999998,2275.0
Seat AA-4,Seat,MPV,F,111039,850,5,680,5,8.03,Hybrid,Diesel+Electric,1,0,1204.5,2054.5
BMW N3x,BMW,Hatchback,B,39587,772,5,345,3,6.83,Diesel,Diesel,0,0,1024.5,1796.5
Honda VV5,Honda,MPV,C,46634,743,6,912,4,10.94,Diesel,Diesel,0,0,1641.0,2384.0
Renault WW-7,Renault,Crossover,C,47552,721,7,581,3,6.58,Hybrid,Petrol+Electric,1,1,987.0,1708.0
Opel 333,Opel,Crossover,C,52519,532,5,627,4,7.65,Hybrid,Diesel+Electric,1,1,1147.5,1679.5
Seat 222,Seat,MPV,D,52996,453,8,637,5,10.0,Petrol,Petrol,0,0,1500.0,1953.0
Fiat M-Class,Fiat,SUV,C,41962,578,5,615,5,8.46,Hybrid,Petrol+Electric,1,1,1269.0000000000002,1847.0000000000002
Volkswagen DD6,Volkswagen,Wagon,E,74857,687,5,831,5,9.28,Diesel,Diesel,0,1,1392.0,2079.0
Mercedes-Benz 333,Mercedes-Benz,Crossover,D,61651,572,5,666,3,10.0,Diesel,Diesel,0,1,1500.0,2072.0
Mini O99,Mini,Wagon,A,28396,636,5,894,5,8.0,Diesel,Diesel,0,1,1200.0,1836.0
Volkswagen UU3,Volkswagen,MPV,D,56980,748,7,514,4,11.85,Petrol,Petrol,0,0,1777.5,2525.5
Volvo E5x,Volvo,Crossover,D,65254,737,7,695,3,8.22,Diesel,Diesel,0,1,1233.0,1970.0
Volvo M-Class,Volvo,Hatchback,C,40594,620,5,385,4,10.52,Diesel,Diesel,0,0,1578.0,2198.0
Skoda Q-Class,Skoda,Sedan,C,37628,225,5,555,4,13.57,Petrol,Petrol,0,0,2035.5,2260.5
Fiat X-Class,Fiat,MPV,D,48082,342,5,707,4,12.21,Petrol,Petrol,0,0,1831.5000000000002,2173.5
Kia E3,Kia,Pickup,C,45947,549,5,0,5,13.79,Petrol,Petrol,0,0,2068.5,2617.5
Vauxhall EE7,Vauxhall,Pickup,B,39777,628,3,0,3,11.24,Petrol,Petrol,0,0,1686.0,2314.0
Peugeot ZZ-88,Peugeot,Hatchback,C,46723,423,5,337,4,10.18,Diesel,Diesel,0,0,1527.0,1950.0
Opel 777,Opel,SUV,B,43765,565,7,481,4,6.61,Hybrid,Diesel+Electric,1,0,991.5,1556.5
Peugeot E-Class,Peugeot,Wagon,D,50638,610,5,898,4,13.13,Petrol,Petrol,0,1,1969.5000000000002,2579.5
Maserati EE3,Maserati,Wagon,B,27127,496,5,886,4,12.93,Petrol,Petrol,0,1,1939.5,2435.5
Honda M6x,Honda,Hatchback,D,54001,491,5,372,4,12.4,Petrol,Petrol,0,0,1860.0,2351.0
Peugeot OO-88,Peugeot,Crossover,C,40105,376,5,753,5,10.75,Diesel,Diesel,0,1,1612.5,1988.5
Skoda U6x,Skoda,Hatchback,D,53448,635,5,474,3,6.48,Hybrid,Petrol+Electric,1,0,972.0000000000001,1607.0
